ui deploy stream - return key does not submit form httplocalhost9393admin-uistreamsdefinitionstestdeploy,0
support for composed streams some recent changes caused this to be turned off basically the change was to police whether a stream is well formed at create time rather than deploy time by deferring that check we can create composed streams that are not deployable by themselves but that are when used as building blocks in proper streams,0
as a developer id like to develop a singlenode in a single jvm implementation of xd admin spi based on module launcher so i can run data pipeline use-cases locally,5
remove unnecessary si evalctx injection in modules with the inclusion of httpsgithubcomspring-cloudspring-cloud-streamcommit80b1d28be1c8b9a23099b145fe2dcf472bfa9697 any module that explicitly injectedlooked up the si ec dont need to do so anymore this issue is about simplifying those,0
unable to set --closetimeout on scsm hdfs sink module creating a stream like this stream create --name myhdfsstream1 --definition time hdfs --closetimeout5000 --deploy causes javalangillegalargumentexception task executor must be set at orgspringframeworkutilassertnotnullassertjava115 spring-core-421releasejar421release at orgspringframeworkdatahadoopstoresupportpollingtasksupportinitpollingtasksupportjava105 spring-data-hadoop-store-230m2jar230m2 at orgspringframeworkdatahadoopstoresupportstoreobjectsupportoninitstoreobjectsupportjava97 spring-data-hadoop-store-230m2jar230m2 at orgspringframeworkdatahadoopstoresupportoutputstoreobjectsupportoninitoutputstoreobjectsupportjava81 spring-data-hadoop-store-230m2jar230m2 at orgspringframeworkdatahadoopstoresupportlifecycleobjectsupportafterpropertiessetlifecycleobjectsupportjava67 spring-data-hadoop-store-230m2jar230m2 at orgspringframeworkcloudstreammodulehdfssinkdatastorewriterfactorybeanafterpropertiessetdatastorewriterfactorybeanjava175 hdfs-sink-100build-snapshot-execjar100build-snapshot at orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactoryinvokeinitmethodsabstractautowirecapablebeanfactoryjava1637 spring-beans-421releasejar421release at orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactoryinitializebeanabstractautowirecapablebeanfactoryjava1574 spring-beans-421releasejar421release 35 common frames omittedwrapped by orgspringframeworkbeansfactorybeancreationexception error creating bean with name datastorewriter defined in class path resource orgspringframeworkcloudstreammodulehdfssinkhdfssinkconfigurationclass invocation of init method failed nested exception is javalangillegalargumentexception task executor must be set at orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactoryinitializebeanabstractautowirecapablebeanfactoryjava1578 spring-beans-421releasejar421release at orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactorydocreatebeanabstractautowirecapablebeanfactoryjava545 spring-beans-421releasejar421release at orgspringframeworkbeansfactorysupportabstractautowirecapablebeanfactorycreatebeanabstractautowirecapablebeanfactoryjava482 spring-beans-421releasejar421release at orgspringframeworkbeansfactorysupportabstractbeanfactory1getobjectabstractbeanfactoryjava305 spring-beans-421releasejar421release at orgspringframeworkbeansfactorysupportdefaultsingletonbeanregistrygetsingletondefaultsingletonbeanregistryjava230 spring-beans-421releasejar421release at orgspringframeworkbeansfactorysupportabstractbeanfactorydogetbeanabstractbeanfactoryjava301 spring-beans-421releasejar421release at orgspringframeworkbeansfactorysupportabstractbeanfactorygetbeanabstractbea,0
add admin-ui to yarn zip packaging,0
create localchannelprotocolxml that will load all the si specific implementations to suppor the xd container runtime and administration,0
as a developer id like to document how to nest batch jobs and workflows in xd so it will be easy for end-users to use it as reference,1
as a developer id like to port rich-gauge module from xd to s-c-s repo so i can use it as sink module to build streaming pipeline,2
multiple streams with same port for http source using a singlexd vm i can create multiple streams with the same http port stream name stream definition status ----------- ----------------- ------ xdstream create --definition http --port8081file --dirtmptest3 --name test1 --deploy created and deployed new stream test1 xdstream create --definition http --port8081file --dirtmptest3 --name test1 --deploy created and deployed new stream test1 xdstream create --definition http --port8081file --dirtmptest3 --name test2 --deploy created and deployed new stream test2 xdstream create --definition http --port8081file --dirtmptest3 --name test3 --deploy created and deployed new stream test3 xdstream list stream name stream definition status ----------- -------------------------------------- -------- test1 http --port8081file --dirtmptest3 deployed test2 http --port8081file --dirtmptest3 deployed test3 http --port8081file --dirtmptest3 deployed issues 1 no error is returned for the duplicate use of the port in m5 an error was returned 2 the status shows as deployed for all three 3 even though there are three streams only the first stream is active i can post to the first stream that was declared and it will successfully post to the directory if i post to the remaining streams i dont get an error and i no data is written to the flle 4 if i remove the working stream the remaining stream still dont work,0
